Write outputs from the Runge-Kutta solution for each time step
time[s]	r[rad/s	v[m/s]
==========================================================
0	0.0033588094560325576	0.00016933547274813088
0.5	0.004244635262192625	0.0002599660048124069
1.0	0.004477916181164157	0.00032983074683366276
1.5	0.00453901041094267	0.0003942180714453069
2.0	0.004554669811085408	0.0004571621134086759
2.5	0.004558340326655741	0.0005197273577858908
3.0	0.004558847321202612	0.0005821946897688496
3.5	0.004558519538661975	0.0006446382264728093
4.0	0.00455797146344382	0.0007070775252317653
4.5	0.004557365239218276	0.0007695177467195568
5.0	0.004556743650747532	0.0008319602527710481
5.5	0.004556117987622882	0.000894405402823509
6.0	0.004555491228821806	0.0009568532918120984
6.5	0.004554864160404581	0.0010193039448779498
7.0	0.004554236989787596	0.0010817573687456883
7.5	0.0045536097717007945	0.0011442135652803892
8.0	0.004552982520584827	0.0012066725350648449
8.5	0.004552355240249228	0.0012691342783434964
9.0	0.004551727931698306	0.0013315987952715084
9.5	0.004551100595196161	0.0013940660859804923
10.0	0.004550473230811567	0.001456536150595848
10.5	0.004549845838561761	0.0015190089892413415
11.0	0.004549218418450382	0.0015814846020403104
11.5	0.004548590970477478	0.0016439629891159841
12.0	0.004547963494642151	0.0017064441505915673
12.5	0.004547335990943256	0.0017689280865902622
13.0	0.004546708459379576	0.0018314147972352743
13.5	0.004546080899949881	0.001893904282649814
14.0	0.004545453312652936	0.0019563965429570973
14.5	0.004544825697487503	0.002018891578280345
15.0	0.0045441980544523464	0.0020813893887427844
15.5	0.004543570383546226	0.002143889974467647
16.0	0.004542942684767906	0.0022063933355781712
16.5	0.0045423149581161485	0.0022688994721975996
17.0	0.0045416872035897145	0.0023314083844491805
17.5	0.004541059421187368	0.0023939200724561686
18.0	0.0045404316109078705	0.002456434536341823
18.5	0.004539803772749983	0.0025189517762294086
19.0	0.004539175906712469	0.002581471792242196
19.5	0.00453854801279409	0.002643994584503461
20.0	0.004537920090993608	0.0027065201531364853
20.5	0.004537292141309784	0.0027690484982645556
21.0	0.004536664163741381	0.0028315796200109643
21.5	0.0045360361582871605	0.002894113518499009
22.0	0.004535408124945884	0.0029566501938519934
22.5	0.004534780063716313	0.003019189646193226
23.0	0.004534151974597209	0.0030817318756460213
23.5	0.004533523857587334	0.003144276882333699
24.0	0.004532895712685449	0.003206824666379584
24.5	0.004532267539890316	0.003269375227907007
25.0	0.004531639339200697	0.003331928567039305
25.5	0.004531011110615351	0.0033944846838998184
26.0	0.004530382854133041	0.0034570435786118953
26.5	0.0045297545697525286	0.003519605251298888
27.0	0.004529126257472574	0.003582169702084154
27.5	0.004528497917291938	0.0036447369310910575
28.0	0.004527869549209383	0.0037073069384429675
28.5	0.004527241153223669	0.003769879724263258
29.0	0.004526612729333558	0.00383245528867531
29.5	0.004525984277537809	0.003895033631802508
30.0	0.004525355797835184	0.003957614753768243
30.5	0.004524727290224444	0.004020198654695912
31.0	0.004524098754704349	0.004082785334708916
31.5	0.004523470191273661	0.004145374793930664
32.0	0.004522841599931139	0.004207967032484567
32.5	0.004522212980675544	0.004270562050494044
33.0	0.004521584333505637	0.00433315984808252
33.5	0.004520955658420178	0.0043957604253734225
34.0	0.004520326955417928	0.004458363782490187
34.5	0.004519698224497646	0.004520969919556255
35.0	0.004519069465658093	0.00458357883669507
35.5	0.00451844067889803	0.004646190534030084
36.0	0.004517811864216217	0.004708805011684755
36.5	0.004517183021611413	0.0047714222697825435
37.0	0.004516554151082379	0.004834042308446918
37.5	0.004515925252627874	0.004896665127801352
38.0	0.004515296326246659	0.004959290727969323
38.5	0.004514667371937495	0.005021919109074316
39.0	0.004514038389699139	0.005084550271239821
39.5	0.004513409379530352	0.0051471842145893315
40.0	0.004512780341429895	0.0052098209392463495
40.5	0.004512151275396526	0.005272460445334381
41.0	0.004511522181429005	0.0053351027329769365
41.5	0.004510893059526092	0.0053977478022975344
42.0	0.004510263909686546	0.005460395653419697
42.5	0.004509634731909126	0.005523046286466951
43.0	0.004509005526192595	0.005585699701562831
43.5	0.004508376292535707	0.005648355898830875
44.0	0.0045077470309372245	0.005711014878394628
44.5	0.004507117741395905	0.005773676640377641
45.0	0.0045064884239105095	0.005836341184903468
45.5	0.0045058590784797965	0.00589900851209567
46.0	0.0045052297051025245	0.005961678622077814
46.5	0.004504600303777453	0.0060243515149734726
47.0	0.00450397087450334	0.0060870271909062214
47.5	0.004503341417278946	0.0061497056499996445
48.0	0.00450271193210303	0.0062123868923773294
48.5	0.004502082418974348	0.006275070918162871
49.0	0.0045014528778916625	0.006337757727479867
49.5	0.004500823308853729	0.006400447320451925
50.0	0.004500193711859307	0.006463139697202652
50.5	0.004499564086907157	0.006525834857855666
51.0	0.004498934433996035	0.006588532802534588
51.5	0.0044983047531247005	0.006651233531363043
52.0	0.004497675044291912	0.006713937044464666
52.5	0.0044970453074964275	0.006776643341963093
53.0	0.004496415542737006	0.0068393524239819675
53.5	0.004495785750012405	0.006902064290644938
54.0	0.004495155929321383	0.006964778942075659
54.5	0.004494526080662697	0.007027496378397791
55.0	0.004493896204035108	0.007090216599734998
55.5	0.004493266299437372	0.007152939606210951
56.0	0.004492636366868245	0.007215665397949327
56.5	0.004492006406326489	0.007278393975073807
57.0	0.004491376417810859	0.007341125337708078
57.5	0.004490746401320114	0.007403859485975833
58.0	0.004490116356853011	0.00746659642000077
58.5	0.004489486284408309	0.007529336139906593
59.0	0.004488856183984764	0.0075920786458170105
59.5	0.004488226055581135	0.007654823937855737
60.0	0.004487595899196178	0.0077175720161464945
60.5	0.004486965714828652	0.007780322880813007
61.0	0.004486335502477313	0.007843076531979005
61.5	0.0044857052621409205	0.007905832969768227
62.0	0.0044850749938182295	0.007968592194304415
62.5	0.004484444697507998	0.008031354205711314
63.0	0.004483814373208984	0.00809411900411268
63.5	0.004483184020919943	0.008156886589632269
64.0	0.004482553640639634	0.008219656962393846
64.5	0.004481923232366812	0.008282430122521181
65.0	0.004481292796100236	0.00834520607013805
65.5	0.004480662331838661	0.008407984805368234
66.0	0.004480031839580846	0.008470766328335516
66.5	0.004479401319325545	0.00853355063916369
67.0	0.004478770771071517	0.008596337737976552
67.5	0.004478140194817519	0.008659127624897905
68.0	0.004477509590562307	0.008721920300051558
68.5	0.004476878958304635	0.008784715763561322
