Write outputs from the Runge-Kutta solution for each time step
time[s]	r[rad/s	v[m/s]
==========================================================
0	0.00793961991997	-0.00295813947704
0.01	0.0159007671684	-0.00590682830511
0.02	0.0238833613594	-0.0088460399479
0.03	0.0318873219165	-0.011775747965
0.04	0.0399125680729	-0.014695926012
0.05	0.0479590188728	-0.0176065478409
0.06	0.0560265931719	-0.0205075873003
0.07	0.0641152096383	-0.0233990183355
0.08	0.0722247867534	-0.0262808149889
0.09	0.0803552428124	-0.0291529514002
0.1	0.0885064959256	-0.0320154018065
0.11	0.0966784640188	-0.0348681405426
0.12	0.104871064834	-0.0377111420415
0.13	0.113084215932	-0.040544380834
0.14	0.12131783469	-0.0433678315496
0.15	0.129571838304	-0.0461814689163
0.16	0.137846143792	-0.048985267761
0.17	0.14614066799	-0.0517792030097
0.18	0.154455327557	-0.0545632496875
0.19	0.162790038974	-0.0573373829193
0.2	0.171144718546	-0.0601015779296
0.21	0.1795192824	-0.0628558100428
0.22	0.187913646488	-0.0656000546837
0.23	0.196327726591	-0.0683342873772
0.24	0.204761438311	-0.071058483749
0.25	0.213214697083	-0.0737726195256
0.26	0.221687418165	-0.0764766705346
0.27	0.230179516649	-0.0791706127046
0.28	0.238690907452	-0.0818544220659
0.29	0.247221505324	-0.0845280747505
0.3	0.255771224849	-0.0871915469921
0.31	0.264339980438	-0.0898448151267
0.32	0.27292768634	-0.0924878555924
0.33	0.281534256636	-0.0951206449299
0.34	0.290159605242	-0.0977431597828
0.35	0.29880364591	-0.100355376897
0.36	0.307466292228	-0.102957273123
0.37	0.316147457624	-0.105548825412
0.38	0.324847055362	-0.108130010822
0.39	0.333564998546	-0.110700806512
0.4	0.342301200119	-0.113261189746
0.41	0.351055572868	-0.115811137893
0.42	0.359828029418	-0.118350628425
0.43	0.36861848224	-0.120879638919
0.44	0.377426843646	-0.123398147056
0.45	0.386253025795	-0.125906130623
0.46	0.39509694069	-0.128403567513
0.47	0.403958500179	-0.130890435721
0.48	0.412837615959	-0.133366713351
0.49	0.421734199574	-0.13583237861
0.5	0.430648162417	-0.138287409813
0.51	0.439579415732	-0.14073178538
0.52	0.448527870611	-0.143165483838
0.53	0.457493438	-0.145588483818
0.54	0.466476028696	-0.148000764061
0.55	0.475475553348	-0.150402303413
0.56	0.484491922462	-0.152793080827
0.57	0.493525046398	-0.155173075364
0.58	0.502574835371	-0.15754226619
0.59	0.511641199452	-0.159900632582
0.6	0.520724048573	-0.162248153923
0.61	0.529823292521	-0.164584809703
0.62	0.538938840945	-0.166910579521
0.63	0.548070603353	-0.169225443085
0.64	0.557218489114	-0.171529380209
0.65	0.566382407461	-0.17382237082
0.66	0.575562267487	-0.176104394948
0.67	0.584757978152	-0.178375432736
0.68	0.593969448278	-0.180635464436
0.69	0.603196586556	-0.182884470407
0.7	0.612439301542	-0.185122431119
0.71	0.621697501657	-0.187349327151
0.72	0.630971095196	-0.189565139193
0.73	0.640259990317	-0.191769848043
0.74	0.649564095054	-0.193963434611
0.75	0.658883317308	-0.196145879915
0.76	0.668217564854	-0.198317165087
0.77	0.67756674534	-0.200477271365
0.78	0.686930766287	-0.202626180102
0.79	0.696309535092	-0.204763872758
0.8	0.705702959026	-0.206890330909
0.81	0.715110945239	-0.209005536237
0.82	0.724533400755	-0.211109470538
0.83	0.733970232481	-0.21320211572
0.84	0.743421347199	-0.215283453801
0.85	0.752886651574	-0.217353466912
0.86	0.762366052151	-0.219412137297
0.87	0.771859455358	-0.221459447308
0.88	0.781366767505	-0.223495379415
0.89	0.790887894787	-0.225519916196
0.9	0.800422743284	-0.227533040344
0.91	0.80997121896	-0.229534734663
0.92	0.819533227667	-0.231524982071
0.93	0.829108675145	-0.233503765598
0.94	0.838697467021	-0.235471068389
0.95	0.848299508814	-0.237426873701
0.96	0.857914705932	-0.239371164904
0.97	0.867542963674	-0.241303925482
0.98	0.877184187231	-0.243225139034
0.99	0.886838281688	-0.24513478927
1.0	0.896505152025	-0.247032860017
1.01	0.906184703116	-0.248919335214
1.02	0.91587683973	-0.250794198915
1.03	0.925581466534	-0.252657435289
1.04	0.935298488094	-0.254509028618
1.05	0.945027808874	-0.256348963301
1.06	0.954769333235	-0.258177223848
1.07	0.964522965444	-0.259993794888
1.08	0.974288609665	-0.261798661163
1.09	0.984066169967	-0.263591807529
1.1	0.993855550321	-0.26537321896
1.11	1.0036566546	-0.267142880543
1.12	1.0134693866	-0.268900777482
1.13	1.02329364999	-0.270646895097
1.14	1.03312934837	-0.272381218821
1.15	1.04297638525	-0.274103734205
1.16	1.05283466405	-0.275814426917
1.17	1.06270408807	-0.277513282739
1.18	1.07258456055	-0.27920028757
1.19	1.08247598465	-0.280875427425
1.2	1.09237826342	-0.282538688437
1.21	1.10229129983	-0.284190056853
1.22	1.11221499677	-0.285829519038
1.23	1.12214925704	-0.287457061475
1.24	1.13209398336	-0.289072670762
1.25	1.14204907837	-0.290676333614
1.26	1.15201444462	-0.292268036865
1.27	1.16198998459	-0.293847767464
1.28	1.17197560068	-0.295415512478
1.29	1.1819711952	-0.296971259093
1.3	1.1919766704	-0.29851499461
1.31	1.20199192843	-0.300046706449
1.32	1.21201687138	-0.301566382147
1.33	1.22205140127	-0.30307400936
1.34	1.23209542004	-0.30456957586
1.35	1.24214882955	-0.30605306954
1.36	1.25221153159	-0.307524478408
1.37	1.26228342789	-0.308983790591
1.38	1.2723644201	-0.310430994335
1.39	1.28245440981	-0.311866078005
1.4	1.29255329853	-0.313289030082
1.41	1.30266098772	-0.314699839169
1.42	1.31277737875	-0.316098493983
1.43	1.32290237294	-0.317484983365
1.44	1.33303587155	-0.31885929627
1.45	1.34317777577	-0.320221421775
1.46	1.35332798672	-0.321571349075
1.47	1.36348640547	-0.322909067485
1.48	1.37365293304	-0.324234566436
1.49	1.38382747036	-0.325547835483
1.5	1.39400991832	-0.326848864295
1.51	1.40420017776	-0.328137642665
1.52	1.41439814945	-0.329414160503
1.53	1.42460373411	-0.330678407839
1.54	1.43481683241	-0.331930374822
1.55	1.44503734494	-0.333170051722
1.56	1.45526517229	-0.334397428927
1.57	1.46550021494	-0.335612496947
1.58	1.47574237335	-0.336815246411
1.59	1.48599154794	-0.338005668065
1.6	1.49624763905	-0.33918375278
1.61	1.50651054701	-0.340349491544
1.62	1.51678017206	-0.341502875465
1.63	1.52705641443	-0.342643895773
1.64	1.53733917428	-0.343772543817
1.65	1.54762835175	-0.344888811066
1.66	1.55792384692	-0.345992689111
1.67	1.56822555983	-0.347084169661
1.68	1.57853339049	-0.348163244548
1.69	1.58884723885	-0.349229905722
1.7	1.59916700484	-0.350284145257
1.71	1.60949258833	-0.351325955344
1.72	1.61982388919	-0.352355328297
1.73	1.63016080721	-0.35337225655
1.74	1.64050324218	-0.354376732658
1.75	1.65085109383	-0.355368749297
1.76	1.66120426187	-0.356348299263
1.77	1.67156264597	-0.357315375475
1.78	1.68192614579	-0.35826997097
1.79	1.69229466093	-0.359212078909
1.8	1.70266809098	-0.360141692572
1.81	1.71304633549	-0.361058805362
1.82	1.72342929399	-0.3619634108
1.83	1.73381686598	-0.362855502533
1.84	1.74420895093	-0.363735074324
1.85	1.75460544831	-0.364602120062
1.86	1.76500625753	-0.365456633754
1.87	1.775411278	-0.366298609529
1.88	1.78582040911	-0.367128041639
1.89	1.79623355021	-0.367944924456
1.9	1.80665060064	-0.368749252473
1.91	1.81707145974	-0.369541020306
1.92	1.82749602681	-0.370320222692
1.93	1.83792420113	-0.371086854489
1.94	1.84835588198	-0.371840910677
1.95	1.85879096862	-0.372582386358
1.96	1.86922936028	-0.373311276754
1.97	1.87967095621	-0.37402757721
1.98	1.89011565562	-0.374731283192
1.99	1.90056335772	-0.37542239029
2.0	1.91101396171	-0.376100894212
2.01	1.92146736678	-0.37676679079
2.02	1.9319234721	-0.377420075977
2.03	1.94238217685	-0.378060745848
2.04	1.95284338019	-0.378688796601
2.05	1.9633069813	-0.379304224553
2.06	1.97377287933	-0.379907026145
2.07	1.98424097343	-0.380497197939
2.08	1.99471116275	-0.38107473662
2.09	2.00518334644	-0.381639638992
2.1	2.01565742367	-0.382191901984
2.11	2.02613329356	-0.382731522645
2.12	2.03661085529	-0.383258498147
2.13	2.047090008	-0.383772825782
2.14	2.05757065086	-0.384274502966
2.15	2.06805268302	-0.384763527236
2.16	2.07853600365	-0.38523989625
2.17	2.08902051193	-0.38570360779
2.18	2.09950610704	-0.386154659757
2.19	2.10999268817	-0.386593050176
2.2	2.12048015453	-0.387018777193
2.21	2.13096840531	-0.387431839076
2.22	2.14145733974	-0.387832234216
2.23	2.15194685706	-0.388219961123
2.24	2.16243685651	-0.388595018432
2.25	2.17292723735	-0.388957404898
2.26	2.18341789886	-0.389307119398
2.27	2.19390874032	-0.38964416093
2.28	2.20439966106	-0.389968528617
2.29	2.21489056038	-0.390280221699
2.3	2.22538133765	-0.390579239543
2.31	2.23587189222	-0.390865581633
2.32	2.24636212348	-0.391139247577
2.33	2.25685193083	-0.391400237105
2.34	2.26734121372	-0.391648550068
2.35	2.27782987159	-0.391884186438
2.36	2.28831780392	-0.392107146311
2.37	2.29880491021	-0.392317429901
2.38	2.30929109001	-0.392515037547
2.39	2.31977624286	-0.392699969708
2.4	2.33026026835	-0.392872226965
2.41	2.34074306611	-0.393031810019
2.42	2.35122453577	-0.393178719694
2.43	2.36170457702	-0.393312956936
2.44	2.37218308956	-0.393434522811
2.45	2.38265997315	-0.393543418507
2.46	2.39313512756	-0.393639645333
2.47	2.40360845261	-0.39372320472
2.48	2.41407984813	-0.39379409822
2.49	2.42454921403	-0.393852327505
2.5	2.43501645023	-0.393897894371
2.51	2.44548145668	-0.393930800732
2.52	2.4559441334	-0.393951048625
2.53	2.46640438043	-0.393958640208
2.54	2.47686209785	-0.393953577759
2.55	2.4873171858	-0.393935863679
2.56	2.49776954445	-0.393905500487
2.57	2.50821907402	-0.393862490825
2.58	2.51866567477	-0.393806837456
2.59	2.52910924701	-0.393738543263
2.6	2.53954969111	-0.39365761125
2.61	2.54998690746	-0.393564044541
2.62	2.56042079652	-0.393457846381
2.63	2.5708512588	-0.393339020137
2.64	2.58127819487	-0.393207569295
2.65	2.59170150532	-0.393063497462
2.66	2.60212109082	-0.392906808365
2.67	2.61253685209	-0.392737505852
2.68	2.6229486899	-0.39255559389
2.69	2.63335650509	-0.392361076569
2.7	2.64376019853	-0.392153958096
2.71	2.65415967118	-0.3919342428
2.72	2.66455482403	-0.391701935129
2.73	2.67494555814	-0.391457039653
2.74	2.68533177465	-0.39119956106
2.75	2.69571337473	-0.390929504157
2.76	2.70609025963	-0.390646873874
2.77	2.71646233067	-0.390351675259
