Write outputs from the Runge-Kutta solution for each time step
time[s]	u[m/s]	v[m/s]	r[rad/s]
=============================================================
0	12.349826589818731	-0.01585685152270447	-0.0004598526584854166
0.1	12.349654018490755	-0.031310731680012874	-0.0009148555661359717
0.2	12.349483755021286	-0.04636632159734643	-0.0013649264660619122
0.30000000000000004	12.349317187585392	-0.06102828564523878	-0.0018099856989826164
0.4	12.349155625139351	-0.0753012741229922	-0.002249956405386672
0.5	12.349000299059542	-0.08918992565098761	-0.002684764711846101
0.6	12.348852364808854	-0.10269886928270405	-0.0031143399015508837
0.7	12.34871290363026	-0.11583272634758471	-0.003538614569176205
0.7999999999999999	12.348582924266774	-0.12859611203596036	-0.003957524760240356
0.8999999999999999	12.348463364706749	-0.14099363673730356	-0.004371010095155674
0.9999999999999999	12.348355093953106	-0.15302990714313486	-0.004779013878217892
1.0999999999999999	12.348258913814856	-0.16470952712593412	-0.005181483191820549
1.2	12.348175560719044	-0.1760370984054217	-0.0055783689762203235
1.3	12.348105707540984	-0.18701722101356608	-0.005969626095216165
1.4000000000000001	12.348049965450533	-0.19765449356964265	-0.00635521338813957
1.5000000000000002	12.348008885771957	-0.2079535133766145	-0.006735093708585215
1.6000000000000003	12.34798296185482	-0.2179188763500261	-0.007109233950340209
1.7000000000000004	12.347972630953256	-0.22755517679049764	-0.0074776050609963425
1.8000000000000005	12.347978276110862	-0.23686700701077865	-0.00784018204375288
1.9000000000000006	12.348000228048429	-0.2458589568281666	-0.008196943947937492
2.0000000000000004	12.3480387670517	-0.25453561293291815	-0.00854787384879001
2.1000000000000005	12.3480941248563	-0.26290155814307975	-0.008892958817067562
2.2000000000000006	12.348166486527042	-0.270961370555941	-0.009232189879040661
2.3000000000000007	12.3482559923288	-0.27871962260606803	-0.009565561967457694
2.400000000000001	12.348362739586204	-0.2861808800396097	-0.00989307386406035
2.500000000000001	12.348486784529467	-0.2933497008142846	-0.010214728134234755
2.600000000000001	12.348628144123749	-0.3002306339341562	-0.01053053105438261
2.700000000000001	12.348786797879518	-0.30682821822798606	-0.01084049253259364
2.800000000000001	12.348962689641466	-0.31314698107962424	-0.011144626023195206
2.9000000000000012	12.349155729353702	-0.3191914371185556	-0.01144294843574723
3.0000000000000013	12.349365794798986	-0.32496608687836454	-0.011735480039040767
3.1000000000000014	12.349592733309931	-0.33047541543052344	-0.01202224436064678
3.2000000000000015	12.349836363450232	-0.3357238910005404	-0.01230326808254816
3.3000000000000016	12.350096476664099	-0.3407159635731307	-0.01257858093337292
3.4000000000000017	12.35037283889223	-0.345456063492702	-0.012848215577729869
3.5000000000000018	12.350665192152753	-0.34994860006506656	-0.013112207503130396
3.600000000000002	12.350973256085775	-0.35419796016591865	-0.013370594904960977
3.700000000000002	12.35129672946026	-0.35820850686124234	-0.013623418569951373
3.800000000000002	12.351635291642141	-0.3619845780444441	-0.013870721758562849
3.900000000000002	12.35198860402265	-0.36553048509464087	-0.01411255008669973
4.000000000000002	12.35235631140608	-0.36885051156017395	-0.01434895140712598
4.100000000000001	12.352738043356245	-0.3719489118710702	-0.014579975690946703
4.200000000000001	12.353133415501066	-0.3748299100838266	-0.01480567490949248
4.300000000000001	12.353542030794848	-0.3774976986615628	-0.015026102916922371
4.4	12.353963480737937	-0.37995643729226214	-0.015241315333839557
4.5	12.354397346553522	-0.3822102517475108	-0.015451369432191768
4.6	12.354843200321541	-0.3842632327838425	-0.01565632402170729
4.699999999999999	12.355300606069665	-0.38611943508851104	-0.01585623933809622
4.799999999999999	12.355769120821513	-0.38778287627123437	-0.016051176933226035
4.899999999999999	12.356248295602311	-0.38925753590319423	-0.016241199567460604
4.999999999999998	12.356737676402295	-0.3905473546043248	-0.016426371104332132
5.099999999999998	12.357236805098271	-0.3916562331796889	-0.01660675640769687
5.1999999999999975	12.35774522033379	-0.3925880318055171	-0.016782421241507302
5.299999999999997	12.3582624583585	-0.39334656926527856	-0.01695343217231608
5.399999999999997	12.358788053827286	-0.39393562223595446	-0.017119856474610447
5.4999999999999964	12.359321540559872	-0.39435892462450556	-0.01728176203906013
5.599999999999996	12.359862452261622	-0.3946201669543547	-0.017439217283746512
5.699999999999996	12.360410323206318	-0.3947229958015507	-0.017592291068426958
5.799999999999995	12.360964688881758	-0.3946710132801351	-0.01774105261187457
5.899999999999995	12.36152508659902	-0.394467776576104	-0.017885571412321277
5.999999999999995	12.362091056066307	-0.3941167975292359	-0.018025917171020416
6.099999999999994	12.362662139928306	-0.3936215422619508	-0.018162159718933923
6.199999999999994	12.363237884272008	-0.39298543085426696	-0.018294368946539335
6.299999999999994	12.363817839099974	-0.3922118370638372	-0.01842261473674228
6.399999999999993	12.364401558772036	-0.3913040880899695	-0.018546966900871674
6.499999999999993	12.364988602416432	-0.3902654643804707	-0.0186674951177269
6.5999999999999925	12.365578534311407	-0.38909919948009464	-0.01878426887563915
6.699999999999992	12.366170924238283	-0.38780847991932765	-0.01889735741750268
6.799999999999992	12.366765347807009	-0.3863964451422034	-0.01900682968872583
6.8999999999999915	12.36736138675524	-0.3848661874718066	-0.019112754288046662
6.999999999999991	12.367958629221928	-0.3832207521120999	-0.019215199421153267
7.099999999999991	12.36855666999645	-0.38146313718468816	-0.019314232857045036
7.19999999999999	12.369155110744268	-0.37959629379912346	-0.01940992188706753
7.29999999999999	12.369753560210107	-0.3776231261553453	-0.01950233328655075
7.39999999999999	12.370351634399617	-0.37554649167685067	-0.01959153327897808
7.499999999999989	12.37094895674049	-0.37336920117319083	-0.01967758750261118
